#Species	GC%
Lactobacillus_paracollinoides--GCF_001311135.1	46.77%
Pediococcus_cellicola--GCF_001438655.1	39.04%
Lactobacillus_hokkaidonensis--GCF_000829395.1	38.22%
Lactobacillus_brantae--GCF_001436115.1	47.48%
Lactobacillus_coleohominis--GCF_000161935.1	40.82%
Lactobacillus_oryzae--GCF_000740055.1	42.81%
Lactobacillus_panis--GCF_001435935.1	48.07%
Pediococcus_stilesii--GCF_001437075.1	38.11%
Lactobacillus_reuteri--GCA_003072625.1	39.31%
Lactobacillus_wasatchensis--GCF_000876205.1	39.8%
Lactobacillus_farraginis--GCF_000583655.1	42.06%
Lactobacillus_malefermentans--GCF_001436395.1	41.03%
Lactobacillus_equigenerosi--GCF_001311375.1	42.61%
Lactobacillus_otakiensis--GCF_001434145.1	42.39%
Lactobacillus_oligofermentans--GCF_001434315.1	35.57%
Pediococcus_pentosaceus--GCF_001437285.1	37.25%
Lactobacillus_acidifarinae--GCF_001434835.1	51.59%
Lactobacillus_suebicus--GCF_001434475.1	38.98%
Lactobacillus_oris--GCF_001434465.1	49.98%
Lactobacillus_gastricus--GCF_001434365.1	41.64%
Lactobacillus_similis--GCF_001311075.1	46.96%
Pediococcus_damnosus--GCF_001437255.1	38.23%
Lactobacillus_vaccinostercus--GCF_001436295.1	43.48%
Lactobacillus_zymae--GCF_001434115.1	53.57%
Lactobacillus_mucosae--GCF_001436025.1	46.4%
Lactobacillus_sunkii--GCF_001435575.1	42.06%
Lactobacillus_odoratitofui--GCF_001434895.1	44.23%
Pediococcus_inopinatus--GCF_002982135.1	38.67%
Lactobacillus_kisonensis--GCA_001311425.1	41.7%
Lactobacillus_secaliphilus--GCF_001437055.1	47.71%
Lactobacillus_parabuchneri--GCF_001435315.1	43.43%
Lactobacillus_antri--GCF_000160835.1	49.77%
Lactobacillus_parafarraginis--GCF_001435895.1	45.23%
Lactobacillus_kimchicus--GCF_001433995.1	46.59%
Lactobacillus_collinoides--GCF_001435975.1	46.1%
Lactobacillus_curieae--GCF_000785105.2	39.78%
Lactobacillus_ingluviei--GCF_001435775.1	49.89%
Lactobacillus_buchneri--GCF_001434735.1	44.41%
Pediococcus_ethanolidurans--GCF_001437405.1	37.18%
Lactobacillus_spicheri--GCF_001435095.1	55.91%
Lactobacillus_frumenti--GCF_001436045.1	42.55%
Lactobacillus_pontis--GCF_001435345.1	53.36%
Lactobacillus_vaginalis--GCF_000159435.1	39.08%
Lactobacillus_namurensis--GCF_001434785.1	51.99%
Lactobacillus_saerimneri--GCF_000423265.1	42.5%
Lactobacillus_senioris--GCF_001436555.1	39.08%
Lactobacillus_rapi--GCF_001436255.1	42.94%
Pediococcus_acidilactici--GCF_000146325.1	41.85%
Lactobacillus_gorillae--GCF_001293735.1	48.11%
