#Matching species	Similarity (%)
Intestinimonas butyriciproducens--Ruminococcaceae--KC311367 (Valid)	93.8129496403
Pseudoflavonifractor capillosus--Unclassified Clostridiales--AY136666 (Valid)	93.7365010799
Clostridium viride--Clostridiaceae--X81125 (Valid)	93.5786435786
Flavonifractor plautii--Unclassified Clostridiales--AY724678 (Valid)	93.4485241181
Oscillibacter valericigenes--Oscillospiraceae--AB238598 (Valid)	90.5141202028
Agathobaculum butyriciproducens--Ruminococcaceae--KP889099 (Valid)	90.4796511628
Oscillibacter ruminantium--Oscillospiraceae--JF750939 (Valid)	90.3747244673
Butyricicoccus faecihominis--Clostridiaceae--LC082228 (Valid)	90.3659447349
Butyricicoccus pullicaecorum--Clostridiaceae--EU410376 (Valid)	90.0504686373
Papillibacter cinnamivorans--Ruminococcaceae--AF167711 (Valid)	89.7620764239
Agathobaculum desmolans--Ruminococcaceae--L34618 (Valid)	89.0590809628
Clostridium straminisolvens--Clostridiaceae--AB125279 (Valid)	88.3164005806
Saccharofermentans acetigenes--Clostridiaceae--AY949857 (Valid)	88.1673881674
Sporobacter termitidis--Ruminococcaceae--Z49863 (Valid)	88.0230880231
Clostridium thermocellum--Clostridiaceae--CP000568 (Valid)	87.8875270368
Clostridium alkalicellulosi--Clostridiaceae--AY959944 (Valid)	87.7801879971
Pseudobacteroides cellulosolvens--Ruminococcaceae--HE862234 (Valid)	87.6900796524
Clostridium clariflavum--Clostridiaceae--AB186359 (Valid)	87.6552227904
Herbivorax saccincola--Ruminococcaceae--LN868252 (Valid)	87.6266280753
Anaerobacterium chartisolvens--Ruminococcaceae--AB793710 (Valid)	87.4273255814
Clostridium aldrichii--Clostridiaceae--X71846 (Valid)	87.4186550976
Clostridium methylpentosum--Clostridiaceae--Y18181 (Valid)	87.417218543
Clostridium caenicola--Clostridiaceae--AB221372 (Valid)	87.2185911402
Clostridium leptum--Clostridiaceae--AJ305238 (Valid)	87.210982659
Acetivibrio cellulolyticus--Ruminococcaceae--L35516 (Valid)	87.0477568741
Acutalibacter muris--Clostridiaceae--KR364749 (Valid)	87.0036101083
Clostridium thermosuccinogenes--Clostridiaceae--Y18180 (Valid)	86.7243867244
Bacteroides cellulosolvens--Bacteroidaceae--L35517 (Valid)	86.7198838897
Clostridium termitidis--Clostridiaceae--FR733680 (Valid)	86.6522366522
Ruminococcus albus--Ruminococcaceae--L76598 (Valid)	86.5269461078
Hydrogenoanaerobacterium saccharovorans--Ruminococcaceae--EU158190 (Valid)	86.5217391304
Clostridium cellobioparum--Clostridiaceae--X71856 (Valid)	86.4357864358
Ruminococcus bromii--Ruminococcaceae--L76600 (Valid)	86.4179104478
Ruminococcus flavefaciens--Ruminococcaceae--L76603 (Valid)	86.387434555
Mageeibacillus indolicus--Ruminococcaceae--GQ900631 (Valid)	86.3636363636
Fournierella massiliensis--Ruminococcaceae--LN846908 (Valid)	86.3439306358
Eubacterium siraeum--Eubacteriaceae--L34625 (Valid)	86.2973760933
Clostridium hungatei--Clostridiaceae--FR749966 (Valid)	86.2093862816
Clostridium stercorarium--Clostridiaceae--AF266461 (Valid)	86.1994219653
Ercella succinigenes--Ruminococcaceae--HG003571 (Valid)	86.1788617886
Clostridium papyrosolvens--Clostridiaceae--X71852 (Valid)	86.1371841155
Anaerotruncus colihominis--Ruminococcaceae--AJ315980 (Valid)	86.0692771084
Acetanaerobacterium elongatum--Ruminococcaceae--AY487928 (Valid)	85.9623733719
Ethanoligenens harbinense--Ruminococcaceae--AY295777 (Valid)	85.9510086455
Clostridium stercorarium--Clostridiaceae--X72870 (Valid)	85.8483754513
Clostridium cellulolyticum--Clostridiaceae--X71847 (Valid)	85.8069164265
Caproiciproducens galactitolivorans--Unclassified Clostridiales--FJ805840 (Valid)	85.6005788712
Clostridium stercorarium--Clostridiaceae--AJ310082 (Valid)	85.4151624549
Clostridium sufflavum--Clostridiaceae--AB267266 (Valid)	85.3535353535
Clostridium cellulosi--Clostridiaceae--L09177 (Valid)	84.8201438849
