#Species	GC%
Alkaliphilus_peptidifermentans--GCF_900101495.1	34.09%
Kineothrix_alysoides--GCF_000732725.1	42.74%
Butyrivibrio_crossotus--GCF_000156015.1	37.55%
Clostridium_amygdalinum--GCF_900205965.1	41.29%
Lactonifactor_longoviformis--GCF_900129135.1	46.39%
Clostridium_bornimense--GCF_000577895.1	29.45%
Hungatella_effluvii--GCF_003201875.1	48.96%
Hungatella_hathewayi--GCF_000235505.1	49.63%
Pseudobacteroides_cellulosolvens--GCF_001262605.1	35.55%
Alkaliphilus_transvaalensis--GCF_000621485.1	33.95%
Butyrivibrio_fibrisolvens--GCF_900129945.1	39.66%
Clostridium_hungatei--GCF_002051585.1	42.27%
Faecalicatena_contorta--GCF_003149105.1	42.03%
Christensenella_minuta--GCF_001652705.1	51.47%
Clostridium_butyricum--GCF_000409755.1	28.5%
Clostridium_cellulolyticum--GCF_000022065.1	37.4%
Clostridium_clariflavum--GCF_000237085.1	35.72%
Clostridium_chauvoei--GCF_002327185.1	28.28%
Clostridium_papyrosolvens--GCF_000175795.2	37.02%
Clostridium_sufflavum--GCF_003208175.1	38.62%
Acidaminobacter_hydrogenoformans--GCF_900103005.1	48.76%
Acetivibrio_cellulolyticus--GCF_000179595.2	35.49%
Clostridium_tertium--GCF_900217175.1	27.78%
Clostridium_tepidiprofundi--GCF_001594005.1	29.44%
Clostridium_perfringens--GCF_000013285.1	28.38%
Vallitalea_guaymasensis--GCA_003313305.1	31.21%
Faecalicatena_orotica--GCF_003149245.1	44.74%
Clostridium_termitidis--GCF_000350485.1	41.2%
Clostridium_sartagoforme--GCF_000401215.1	27.91%
Clostridium_cellobioparum--GCF_000621505.1	41.32%
Robinsoniella_peoriensis--GCF_000797495.1	41.15%
Clostridium_amylolyticum--GCF_900142075.1	32.07%
Parasporobacterium_paucivorans--GCF_900141895.1	44.13%
Thermotalea_metallivorans--GCF_001562415.1	40.3%
Catabacter_hongkongensis--GCF_000981035.1	48.53%
Natronincola_ferrireducens--GCF_900100845.1	34.98%
