#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Faecalicatena_orotica--GCF_003149245.1 as POCP was;	16.5845417429%
POCP suggests seperate genus between the input genome and Thermotalea_metallivorans--GCF_001562415.1 as POCP was;	19.4522191124%
POCP suggests seperate genus between the input genome and Clostridium_amylolyticum--GCF_900142075.1 as POCP was;	16.2044771133%
POCP suggests seperate genus between the input genome and Robinsoniella_peoriensis--GCF_000797495.1 as POCP was;	14.97312516%
POCP suggests seperate genus between the input genome and Anaerovirgula_multivorans--GCF_900188145.1 as POCP was;	14.758698092%
POCP suggests seperate genus between the input genome and Acetivibrio_cellulolyticus--GCF_000179595.2 as POCP was;	15.690765927%
POCP suggests seperate genus between the input genome and Clostridium_chauvoei--GCF_002327185.1 as POCP was;	19.0015063482%
POCP suggests seperate genus between the input genome and Clostridium_cellobioparum--GCF_000621505.1 as POCP was;	15.7480314961%
POCP suggests seperate genus between the input genome and Clostridium_cellulolyticum--GCF_000022065.1 as POCP was;	18.1156784285%
POCP suggests seperate genus between the input genome and Paraclostridium_benzoelyticum--GCF_001006285.1 as POCP was;	17.1047760089%
POCP suggests seperate genus between the input genome and Clostridium_septicum--GCF_900092375.1 as POCP was;	17.9018478045%
POCP suggests seperate genus between the input genome and Pseudobacteroides_cellulosolvens--GCF_001262605.1 as POCP was;	13.3645806942%
POCP suggests seperate genus between the input genome and Clostridium_beijerinckii--GCA_003129525.1 as POCP was;	17.2473266644%
POCP suggests seperate genus between the input genome and Clostridium_hungatei--GCF_002051585.1 as POCP was;	16.4662497996%
POCP suggests seperate genus between the input genome and Hespellia_stercorisuis--GCF_900142165.1 as POCP was;	18.0527722111%
POCP suggests seperate genus between the input genome and Clostridium_sartagoforme--GCF_000401215.1 as POCP was;	16.9738605898%
POCP suggests seperate genus between the input genome and Clostridium_butyricum--GCF_000409755.1 as POCP was;	16.7129100702%
POCP suggests seperate genus between the input genome and Clostridium_thermosuccinogenes--GCF_002896855.1 as POCP was;	17.75%
POCP suggests seperate genus between the input genome and Clostridium_thermoalcaliphilum--GCF_002029295.1 as POCP was;	21.6189290162%
POCP suggests seperate genus between the input genome and Clostridium_tertium--GCF_900217175.1 as POCP was;	16.838068677%
POCP suggests seperate genus between the input genome and Clostridium_novyi--GCF_000014125.1 as POCP was;	20.9291521487%
POCP suggests seperate genus between the input genome and Faecalicatena_contorta--GCF_003149105.1 as POCP was;	16.9486115544%
POCP suggests seperate genus between the input genome and Paraclostridium_bifermentans--GCF_000452245.2 as POCP was;	16.6151046406%
POCP suggests seperate genus between the input genome and Clostridium_termitidis--GCF_000350485.1 as POCP was;	15.2123446675%
POCP suggests seperate genus between the input genome and Clostridium_sufflavum--GCF_003208175.1 as POCP was;	18.3463449255%
POCP suggests seperate genus between the input genome and Christensenella_minuta--GCF_001652705.1 as POCP was;	22.828836425%
POCP suggests seperate genus between the input genome and Sporanaerobacter_acetigenes--GCF_900130025.1 as POCP was;	19.0248962656%
POCP suggests seperate genus between the input genome and Clostridium_chromiireducens--GCF_002029255.1 as POCP was;	15.4631547795%
POCP suggests seperate genus between the input genome and Clostridium_papyrosolvens--GCF_000175795.2 as POCP was;	16.7975637121%
