#Matching species	Similarity (%)
Christensenella minuta--Christensenellaceae--AB490809 (Valid)	88.9579020014
Wukongibacter baidiensis--Peptostreptococcaceae--KT783480 (Valid)	88.2477128783
Natranaerovirga pectinivora--Unclassified Clostridiales--GQ922846 (Valid)	87.585733882
Clostridium alkalicellulosi--Clostridiaceae--AY959944 (Valid)	87.585733882
Youngiibacter multivorans--Clostridiaceae--FR749900 (Valid)	87.2325741891
Clostridium sartagoforme--Clostridiaceae--Y18175 (Valid)	87.1369294606
Caldicoprobacter guelmensis--Caldicoprobacteraceae--JQ707908 (Valid)	87.1144619602
Clostridium lactatifermentans--Clostridiaceae--AY033434 (Valid)	86.8818681319
Clostridium sufflavum--Clostridiaceae--AB267266 (Valid)	86.8623340321
Clostridium novyi--Clostridiaceae--AB045606 (Valid)	86.7872044506
Clostridium chromiireducens--Clostridiaceae--AY228334 (Valid)	86.7536032944
Acetivibrio cellulolyticus--Ruminococcaceae--L35516 (Valid)	86.7268936762
Gracilibacter thermotolerans--Gracilibacteraceae--DQ117465 (Valid)	86.6995073892
Saccharofermentans acetigenes--Clostridiaceae--AY949857 (Valid)	86.5384615385
Anaerovirgula multivorans--Unclassified Clostridiales--AB201750 (Valid)	86.4489228631
Clostridium thermocellum--Clostridiaceae--CP000568 (Valid)	86.4290610007
Caldicoprobacter faecalis--Caldicoprobacteraceae--FR749980 (Valid)	86.4197530864
Clostridium swellfunianum--Clostridiaceae--AB838978 (Valid)	86.3511659808
Clostridium tertium--Clostridiaceae--Y18174 (Valid)	86.2690707351
Clostridium putrefaciens--Clostridiaceae--AF127024 (Valid)	86.135895676
Sporanaerobacter acetigenes--Unclassified Clostridiales--AF358114 (Valid)	85.9009628611
Clostridium cellobioparum--Clostridiaceae--X71856 (Valid)	85.7240905971
Clostridium aldrichii--Clostridiaceae--X71846 (Valid)	85.6946354883
Hespellia porcina--Lachnospiraceae--AF445239 (Valid)	85.6648199446
Clostridium termitidis--Clostridiaceae--FR733680 (Valid)	85.5967078189
Pseudobacteroides cellulosolvens--Ruminococcaceae--HE862234 (Valid)	85.5281207133
Clostridium papyrosolvens--Clostridiaceae--X71852 (Valid)	85.5181880577
Clostridium thermoalcaliphilum--Clostridiaceae--FR749954 (Valid)	85.5082417582
Clostridium diolis--Clostridiaceae--AJ458418 (Valid)	85.5072463768
Sporacetigenium mesophilum--Peptostreptococcaceae--AY682207 (Valid)	85.4883081155
Alkaliphilus crotonatoxidans--Clostridiaceae--AF467248 (Valid)	85.4094975912
Robinsoniella peoriensis--Lachnospiraceae--AF445285 (Valid)	85.3909465021
Faecalicatena orotica--Lachnospiraceae--FR749917 (Valid)	85.380919698
Abyssivirga alkaniphila--Lachnospiraceae--KP233895 (Valid)	85.2920962199
Clostridium septicum--Clostridiaceae--U59278 (Valid)	85.2537722908
Clostridium chauvoei--Clostridiaceae--U51843 (Valid)	85.1851851852
Faecalicatena contorta--Lachnospiraceae--FR749946 (Valid)	85.1648351648
Clostridium amylolyticum--Clostridiaceae--EU037903 (Valid)	85.0582590816
Clostridium thermosuccinogenes--Clostridiaceae--Y18180 (Valid)	84.6945778998
Paraclostridium benzoelyticum--Clostridiaceae--LN846800 (Valid)	84.6629986245
Paraclostridium bifermentans--Clostridiaceae--AVNC01000016 (Valid)	84.5942228336
Hespellia stercorisuis--Lachnospiraceae--AF445264 (Valid)	84.5360824742
Clostridium beijerinckii--Clostridiaceae--X68179 (Valid)	84.4886753603
Clostridium guangxiense--Clostridiaceae--KT000268 (Valid)	84.3514070007
Terrisporobacter mayombei--Clostridiaceae--FR733682 (Valid)	84.3406593407
Clostridium neuense--Clostridiaceae--KT824779 (Valid)	84.2827728209
Eubacterium tenue--Eubacteriaceae--FR749984 (Valid)	84.1237113402
Clostridium hungatei--Clostridiaceae--FR749966 (Valid)	84.0301576422
Clostridium cellulolyticum--Clostridiaceae--X71847 (Valid)	83.9285714286
Thermotalea metallivorans--Clostridiaceae--EU443727 (Valid)	83.2417582418
