#Matching species	Similarity (%)
Lactococcus garvieae--Streptococcaceae--AP009332 (Valid)	97.0554926387
Lactococcus garvieae--Streptococcaceae--KM261818 (Valid)	97.0319634703
Lactococcus formosensis--Streptococcaceae--AB775178 (Valid)	96.8289920725
Lactococcus lactis--Streptococcaceae--EU770697 (Valid)	92.1857304643
Lactococcus lactis--Streptococcaceae--AB100802 (Valid)	92.0724801812
Lactococcus taiwanensis--Streptococcaceae--AB699722 (Valid)	91.9592298981
Lactococcus piscium--Streptococcaceae--DQ343754 (Valid)	91.9540229885
Lactococcus lactis--Streptococcaceae--AB100804 (Valid)	91.8459796149
Lactococcus lactis--Streptococcaceae--AB100803 (Valid)	91.8459796149
Lactococcus chungangensis--Streptococcaceae--EF694028 (Valid)	90.7134767837
Lactococcus plantarum--Streptococcaceae--EF694029 (Valid)	90.6002265006
Lactococcus hircilactis--Streptococcaceae--KJ201026 (Valid)	90.4653802497
Lactococcus fujiensis--Streptococcaceae--AB485959 (Valid)	90.3518728717
Lactococcus laudensis--Streptococcaceae--KJ394457 (Valid)	90.0339750849
Lactococcus raffinolactis--Streptococcaceae--EF694030 (Valid)	89.8074745187
Streptococcus tangierensis--Streptococcaceae--KF999656 (Valid)	89.5809739524
Lactococcus nasutitermitis--Streptococcaceae--KR611319 (Valid)	89.1279728199
Streptococcus merionis--Streptococcaceae--AM396401 (Valid)	89.1077636153
Streptococcus gallinaceus--Streptococcaceae--AJ307888 (Valid)	88.9014722537
Streptococcus loxodontisalivarius--Streptococcaceae--AB828326 (Valid)	88.7882219706
Streptococcus moroccensis--Streptococcaceae--KF999654 (Valid)	88.6749716874
Streptococcus minor--Streptococcaceae--AY232832 (Valid)	88.6749716874
Lactovum miscens--Streptococcaceae--AJ439543 (Valid)	88.6749716874
Streptococcus saliviloxodontae--Streptococcaceae--AB828327 (Valid)	88.5617214043
Streptococcus cameli--Streptococcaceae--KF999657 (Valid)	88.5617214043
Streptococcus orisuis--Streptococcaceae--AB182324 (Valid)	88.3352208381
Streptococcus iniae--Streptococcaceae--AF335572 (Valid)	88.3352208381
Streptococcus henryi--Streptococcaceae--EF364097 (Valid)	88.3352208381
Streptococcus equi--Streptococcaceae--AJ605748 (Valid)	88.2623705409
Streptococcus agalactiae--Streptococcaceae--AB023574 (Valid)	88.1087202718
Streptococcus caballi--Streptococcaceae--EF364098 (Valid)	88.1087202718
Streptococcus ovis--Streptococcaceae--Y17358 (Valid)	88.1087202718
Streptococcus rifensis--Streptococcaceae--KF999655 (Valid)	87.9818594104
Streptococcus criceti--Streptococcaceae--AJ420198 (Valid)	87.9682179342
Streptococcus cristatus--Streptococcaceae--AY188347 (Valid)	87.9682179342
Streptococcus equi--Streptococcaceae--DQ303186 (Valid)	87.8822197055
Streptococcus ictaluri--Streptococcaceae--DQ462421 (Valid)	87.7689694224
Streptococcus parasanguinis--Streptococcaceae--AF003933 (Valid)	87.7689694224
Streptococcus caprae--Streptococcaceae--LN833583 (Valid)	87.7689694224
Streptococcus hyovaginalis--Streptococcaceae--Y07601 (Valid)	87.643020595
Streptococcus oralis--Streptococcaceae--JN004270 (Valid)	87.5424688562
Streptococcus rupicaprae--Streptococcaceae--FN813250 (Valid)	87.429218573
Streptococcus hongkongensis--Streptococcaceae--HQ335006 (Valid)	87.429218573
Streptococcus dysgalactiae--Streptococcaceae--AB002485 (Valid)	87.429218573
Streptococcus sanguinis--Streptococcaceae--AF003928 (Valid)	87.3159682899
Streptococcus dysgalactiae--Streptococcaceae--DQ232540 (Valid)	87.3159682899
Streptococcus rubneri--Streptococcaceae--JX861483 (Valid)	87.3159682899
Streptococcus halichoeri--Streptococcaceae--AJ606046 (Valid)	87.3015873016
Streptococcus equi--Streptococcaceae--AB002516 (Valid)	87.0894677237
Streptococcus urinalis--Streptococcaceae--AJ131965 (Valid)	87.0894677237
