#Species	GC%
Streptococcus_caballi--GCF_000379985.1	40.33%
Streptococcus_minor--GCF_000377005.1	41.1%
Streptococcus_pyogenes--GCF_002055535.1	38.5%
Streptococcus_equinus--GCF_000187265.1	36.79%
Streptococcus_merionis--GCF_000380085.1	41.69%
Streptococcus_urinalis--GCF_000188055.2	34.19%
Streptococcus_infantarius--GCF_000154985.1	37.57%
Streptococcus_iniae--GCF_001595425.1	36.52%
Streptococcus_salivarius--GCF_000785515.1	40.15%
Streptococcus_anginosus--GCA_001697145.1	38.62%
Lactococcus_chungangensis--GCF_002441885.1	38.67%
Lactococcus_fujiensis--GCF_002441655.1	36.95%
Streptococcus_lutetiensis--GCF_900475675.1	37.71%
Lactococcus_plantarum--GCF_002441715.1	36.76%
Streptococcus_uberis--GCF_900475595.1	36.59%
Streptococcus_equi--GCF_900110405.1	41.16%
Streptococcus_gallolyticus--GCF_002000985.1	37.7%
Lactococcus_raffinolactis--GCF_001591765.1	39.76%
Lactococcus_lactis--GCF_001622305.1	38.57%
Lactococcus_garvieae--GCF_000269925.1	38.83%
Lactococcus_piscium--GCF_002441695.1	38.55%
Streptococcus_suis--GCF_002962445.1	43.72%
Streptococcus_criceti--GCF_000187975.2	42.19%
Streptococcus_parauberis--GCF_000187935.1	35.49%
